Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image
11,EEV-FK1H102M,Panasonic Electronic Components,CAP ALUM 1000UF 20% 50V SMD,0,Normally Stocking,,3,3,Cut Tape (CT),PCE3477CT-ND,2.55000,$7.65,1,,PCE3477CT-ND,26,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.22.0020,Japan,,PCE3477CT-ND,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2375/FK SERIES 17.0H,16.0D.jpg"
12,HSMS-C150,Broadcom Limited,LED RED DIFFUSED CHIP SMD,"53,617",In Stock,,1,1,Cut Tape (CT),516-1440-1-ND,0.60000,$0.60,1,,516-1440-1-ND,14,https://docs.broadcom.com/docs/AV02-0551EN,,-,,Active,ROHS3 Compliant,2A  (4 Weeks),EAR99,8541.41.0000,Taiwan,,516-1440-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2427/FIG 22 HIGHLIGHTED BLUE T052 1579.jpg
13,CRM2512-JW-1R0ELF,Bourns Inc.,RES SMD 1 OHM 5% 2W 2512,"188,110",In Stock,,4,4,Cut Tape (CT),CRM2512-JW-1R0ELFCT-ND,0.75000,$3.00,1,,CRM2512-JW-1R0ELFCT-ND,14,https://www.bourns.com/docs/product-datasheets/crm.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.bourns.com/docs/rohs-content/bourns-reach-letter.pdf|https://www.bourns.com/docs/Product-MDS/CRM2512_MDS.pdf|https://www.bourns.com/docs/rohs-cofc/crx_coc.pdf?sfvrsn=db3a74f6_10,CRM2512-JW-1R0ELFCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/649/CRA2512.jpg
14,EEE-FK1H330XP,Panasonic Electronic Components,CAP ALUM 33UF 20% 50V SMD,"43,969",In Stock,,4,4,Cut Tape (CT),PCE3814CT-ND,0.92000,$3.68,1,,PCE3814CT-ND,26,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.22.0020,Malaysia,,PCE3814CT-ND,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2447/FK SERIES 6.1H,6.3D.jpg"
15,CRGCQ1206F22K,TE Connectivity Passive Product,RES 22K OHM 1% 1/4W 1206,"528,529",In Stock,,10,10,Cut Tape (CT),A129826CT-ND,0.11200,$1.12,1,,A129826CT-ND,14,https://www.te.com/usa-en/product-4-2176343-1.datasheet.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Thailand,,A129826CT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/905/1206-Case-Chip-Resistor.jpg
16,RC1206FR-0710KL,YAGEO,RES 10K OHM 1% 1/4W 1206,"3,983,256",In Stock,,10,10,Cut Tape (CT),311-10.0KFRCT-ND,0.05500,$0.55,1,,311-10.0KFRCT-ND,18,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-10.0KFRCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg
17,RC1206FR-07220KL,YAGEO,RES 220K OHM 1% 1/4W 1206,"343,575",In Stock,,10,10,Cut Tape (CT),311-220KFRCT-ND,0.05500,$0.55,1,,311-220KFRCT-ND,18,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-220KFRCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg
18,RK73H2BTTD3001F,"KOA Speer Electronics, Inc.",RES 3K OHM 1% 1/4W 1206,"208,742",In Stock,,10,10,Cut Tape (CT),2019-RK73H2BTTD3001FCT-ND,0.08100,$0.81,1,,2019-RK73H2BTTD3001FCT-ND,7,https://www.koaspeer.com/pdfs/RK73H.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Malaysia,https://www.koaglobal.com/-/media/Files/KOA_Global/product/common/rohs/Certificate_of_EU_REACH_SVHC_Compliance_sep2020.pdf?la=en&hash=69EBDB93EA8864F0A1BA059189D2D824|https://www.koaglobal.com/-/media/Files/KOA_Global/product/common/rohs/Certificate_of_RoHS_Compliance_sep2020.pdf?la=en&hash=B90F1D81E5C1B27E55129C49A6179E70,2019-RK73H2BTTD3001FCT-ND,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/320/2019;;1206(3216)-3,2x1,6x0,6.JPG"
19,RC1206FR-0710KL,YAGEO,RES 10K OHM 1% 1/4W 1206,"3,983,256",In Stock,,10,10,Cut Tape (CT),311-10.0KFRCT-ND,0.05500,$0.55,1,,311-10.0KFRCT-ND,18,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-10.0KFRCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg
20,RC1206FR-07100KL,YAGEO,RES 100K OHM 1% 1/4W 1206,"3,016,012",In Stock,,10,10,Cut Tape (CT),311-100KFRCT-ND,0.05500,$0.55,1,,311-100KFRCT-ND,18,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-100KFRCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg
21,RK73H2BTTD2401F,"KOA Speer Electronics, Inc.",RES 2.4K OHM 1% 1/4W 1206,"297,631",In Stock,,10,10,Cut Tape (CT),2019-RK73H2BTTD2401FCT-ND,0.08100,$0.81,1,,2019-RK73H2BTTD2401FCT-ND,7,https://www.koaspeer.com/pdfs/RK73H.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Malaysia,https://www.koaglobal.com/-/media/Files/KOA_Global/product/common/rohs/Certificate_of_EU_REACH_SVHC_Compliance_sep2020.pdf?la=en&hash=69EBDB93EA8864F0A1BA059189D2D824|https://www.koaglobal.com/-/media/Files/KOA_Global/product/common/rohs/Certificate_of_RoHS_Compliance_sep2020.pdf?la=en&hash=B90F1D81E5C1B27E55129C49A6179E70,2019-RK73H2BTTD2401FCT-ND,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/320/2019;;1206(3216)-3,2x1,6x0,6.JPG"
22,MMSZ5240B,Good-Ark Semiconductor,"DIODE, ZENER, 0.5W, 10V, SOD-123","5,893",In Stock,,1,1,Cut Tape (CT),4786-MMSZ5240BCT-ND,0.17000,$0.17,1,,4786-MMSZ5240BCT-ND,16,https://goodarksemi.com/docs/datasheets/zener_diodes/MMSZ52xxB.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.10.0080,China,,4786-MMSZ5240BCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4998/MFG_SMSZ4690.jpg
